Date + hour (YYYYMMDDHH),Views
"Jan 15, 2025, 12AM",166
"Jan 15, 2025, 1AM",52
"Jan 15, 2025, 2AM",61
"Jan 15, 2025, 3AM",61
"Jan 15, 2025, 4AM",83
"Jan 15, 2025, 5AM",171
"Jan 15, 2025, 6AM",365
"Jan 15, 2025, 7AM",295
"Jan 15, 2025, 8AM",491
"Jan 15, 2025, 9AM",527
"Jan 15, 2025, 10AM",602
"Jan 15, 2025, 11AM",649
"Jan 15, 2025, 12PM",528
"Jan 15, 2025, 1PM",515
"Jan 15, 2025, 2PM",560
"Jan 15, 2025, 3PM",522
"Jan 15, 2025, 4PM",611
"Jan 15, 2025, 5PM",642
"Jan 15, 2025, 6PM",508
"Jan 15, 2025, 7PM",732
"Jan 15, 2025, 8PM",755
"Jan 15, 2025, 9PM",729
"Jan 15, 2025, 10PM",463
"Jan 15, 2025, 11PM",369
"Jan 16, 2025, 12AM",156
"Jan 16, 2025, 1AM",57
"Jan 16, 2025, 2AM",47
"Jan 16, 2025, 3AM",39
"Jan 16, 2025, 4AM",32
"Jan 16, 2025, 5AM",92
"Jan 16, 2025, 6AM",306
"Jan 16, 2025, 7AM",422
"Jan 16, 2025, 8AM",501
"Jan 16, 2025, 9AM",623
"Jan 16, 2025, 10AM",558
"Jan 16, 2025, 11AM",561
"Jan 16, 2025, 12PM",620
"Jan 16, 2025, 1PM",688
"Jan 16, 2025, 2PM",655
"Jan 16, 2025, 3PM",668
"Jan 16, 2025, 4PM",606
"Jan 16, 2025, 5PM",644
"Jan 16, 2025, 6PM",589
"Jan 16, 2025, 7PM",686
"Jan 16, 2025, 8PM",708
"Jan 16, 2025, 9PM",703
"Jan 16, 2025, 10PM",521
"Jan 16, 2025, 11PM",281
"Jan 17, 2025, 12AM",160
"Jan 17, 2025, 1AM",84
"Jan 17, 2025, 2AM",61
"Jan 17, 2025, 3AM",35
"Jan 17, 2025, 4AM",35
"Jan 17, 2025, 5AM",88
"Jan 17, 2025, 6AM",297
"Jan 17, 2025, 7AM",290
"Jan 17, 2025, 8AM",465
"Jan 17, 2025, 9AM",492
"Jan 17, 2025, 10AM",668
"Jan 17, 2025, 11AM",562
"Jan 17, 2025, 12PM",538
"Jan 17, 2025, 1PM",627
"Jan 17, 2025, 2PM",548
"Jan 17, 2025, 3PM",640
"Jan 17, 2025, 4PM",539
"Jan 17, 2025, 5PM",566
"Jan 17, 2025, 6PM",605
"Jan 17, 2025, 7PM",601
"Jan 17, 2025, 8PM",647
"Jan 17, 2025, 9PM",600
"Jan 17, 2025, 10PM",425
"Jan 17, 2025, 11PM",294
"Jan 18, 2025, 12AM",133
"Jan 18, 2025, 1AM",64
"Jan 18, 2025, 2AM",58
"Jan 18, 2025, 3AM",49
"Jan 18, 2025, 4AM",75
"Jan 18, 2025, 5AM",116
"Jan 18, 2025, 6AM",273
"Jan 18, 2025, 7AM",347
"Jan 18, 2025, 8AM",336
"Jan 18, 2025, 9AM",522
"Jan 18, 2025, 10AM",436
"Jan 18, 2025, 11AM",473
"Jan 18, 2025, 12PM",490
"Jan 18, 2025, 1PM",459
"Jan 18, 2025, 2PM",457
"Jan 18, 2025, 3PM",441
"Jan 18, 2025, 4PM",474
"Jan 18, 2025, 5PM",570
"Jan 18, 2025, 6PM",566
"Jan 18, 2025, 7PM",610
"Jan 18, 2025, 8PM",722
"Jan 18, 2025, 9PM",667
"Jan 18, 2025, 10PM",537
"Jan 18, 2025, 11PM",371
"Jan 19, 2025, 12AM",238
"Jan 19, 2025, 1AM",82
"Jan 19, 2025, 2AM",39
"Jan 19, 2025, 3AM",48
"Jan 19, 2025, 4AM",65
"Jan 19, 2025, 5AM",85
"Jan 19, 2025, 6AM",225
"Jan 19, 2025, 7AM",359
"Jan 19, 2025, 8AM",361
"Jan 19, 2025, 9AM",412
"Jan 19, 2025, 10AM",501
"Jan 19, 2025, 11AM",548
"Jan 19, 2025, 12PM",510
"Jan 19, 2025, 1PM",601
"Jan 19, 2025, 2PM",639
"Jan 19, 2025, 3PM",595
"Jan 19, 2025, 4PM",495
"Jan 19, 2025, 5PM",612
"Jan 19, 2025, 6PM",720
"Jan 19, 2025, 7PM",760
"Jan 19, 2025, 8PM",757
"Jan 19, 2025, 9PM",664
"Jan 19, 2025, 10PM",540
"Jan 19, 2025, 11PM",276
"Jan 20, 2025, 12AM",127
"Jan 20, 2025, 1AM",106
"Jan 20, 2025, 2AM",58
"Jan 20, 2025, 3AM",47
"Jan 20, 2025, 4AM",59
"Jan 20, 2025, 5AM",84
"Jan 20, 2025, 6AM",323
"Jan 20, 2025, 7AM",272
"Jan 20, 2025, 8AM",355
"Jan 20, 2025, 9AM",496
"Jan 20, 2025, 10AM",530
"Jan 20, 2025, 11AM",479
"Jan 20, 2025, 12PM",535
"Jan 20, 2025, 1PM",543
"Jan 20, 2025, 2PM",629
"Jan 20, 2025, 3PM",727
"Jan 20, 2025, 4PM",558
"Jan 20, 2025, 5PM",679
"Jan 20, 2025, 6PM",657
"Jan 20, 2025, 7PM",556
"Jan 20, 2025, 8PM",816
"Jan 20, 2025, 9PM",717
"Jan 20, 2025, 10PM",517
"Jan 20, 2025, 11PM",344
"Jan 21, 2025, 12AM",145
"Jan 21, 2025, 1AM",50
"Jan 21, 2025, 2AM",38
"Jan 21, 2025, 3AM",54
"Jan 21, 2025, 4AM",42
"Jan 21, 2025, 5AM",103
"Jan 21, 2025, 6AM",286
"Jan 21, 2025, 7AM",304
"Jan 21, 2025, 8AM",358
"Jan 21, 2025, 9AM",555
"Jan 21, 2025, 10AM",625
"Jan 21, 2025, 11AM",595
"Jan 21, 2025, 12PM",634
"Jan 21, 2025, 1PM",669
"Jan 21, 2025, 2PM",503
"Jan 21, 2025, 3PM",588
"Jan 21, 2025, 4PM",561
"Jan 21, 2025, 5PM",459
"Jan 21, 2025, 6PM",464
"Jan 21, 2025, 7PM",492
"Jan 21, 2025, 8PM",534
"Jan 21, 2025, 9PM",578
"Jan 21, 2025, 10PM",491
"Jan 21, 2025, 11PM",258
"Jan 22, 2025, 12AM",147
"Jan 22, 2025, 1AM",54
"Jan 22, 2025, 2AM",34
"Jan 22, 2025, 3AM",30
"Jan 22, 2025, 4AM",26
"Jan 22, 2025, 5AM",134
"Jan 22, 2025, 6AM",251
"Jan 22, 2025, 7AM",272
"Jan 22, 2025, 8AM",413
"Jan 22, 2025, 9AM",502
"Jan 22, 2025, 10AM",657
"Jan 22, 2025, 11AM",522
"Jan 22, 2025, 12PM",502
"Jan 22, 2025, 1PM",411
"Jan 22, 2025, 2PM",534
"Jan 22, 2025, 3PM",567
"Jan 22, 2025, 4PM",502
"Jan 22, 2025, 5PM",472
"Jan 22, 2025, 6PM",507
"Jan 22, 2025, 7PM",505
"Jan 22, 2025, 8PM",660
"Jan 22, 2025, 9PM",594
"Jan 22, 2025, 10PM",457
"Jan 22, 2025, 11PM",246
"Jan 23, 2025, 12AM",135
"Jan 23, 2025, 1AM",75
"Jan 23, 2025, 2AM",54
"Jan 23, 2025, 3AM",26
"Jan 23, 2025, 4AM",53
"Jan 23, 2025, 5AM",133
"Jan 23, 2025, 6AM",310
"Jan 23, 2025, 7AM",233
"Jan 23, 2025, 8AM",353
"Jan 23, 2025, 9AM",466
"Jan 23, 2025, 10AM",505
"Jan 23, 2025, 11AM",459
"Jan 23, 2025, 12PM",352
"Jan 23, 2025, 1PM",370
"Jan 23, 2025, 2PM",534
"Jan 23, 2025, 3PM",488
"Jan 23, 2025, 4PM",489
"Jan 23, 2025, 5PM",551
"Jan 23, 2025, 6PM",451
"Jan 23, 2025, 7PM",520
"Jan 23, 2025, 8PM",499
"Jan 23, 2025, 9PM",630
"Jan 23, 2025, 10PM",387
"Jan 23, 2025, 11PM",211
"Jan 24, 2025, 12AM",144
"Jan 24, 2025, 1AM",43
"Jan 24, 2025, 2AM",26
"Jan 24, 2025, 3AM",34
"Jan 24, 2025, 4AM",67
"Jan 24, 2025, 5AM",88
"Jan 24, 2025, 6AM",145
"Jan 24, 2025, 7AM",261
"Jan 24, 2025, 8AM",391
"Jan 24, 2025, 9AM",392
"Jan 24, 2025, 10AM",471
"Jan 24, 2025, 11AM",475
