Date + hour (YYYYMMDDHH),Views
"Jan 30, 2025, 4AM",68
"Jan 30, 2025, 5AM",68
"Jan 30, 2025, 6AM",170
"Jan 30, 2025, 7AM",317
"Jan 30, 2025, 8AM",437
"Jan 30, 2025, 9AM",829
"Jan 30, 2025, 10AM",859
"Jan 30, 2025, 11AM",941
"Jan 30, 2025, 12PM",1005
"Jan 30, 2025, 1PM",905
"Jan 30, 2025, 2PM",944
"Jan 30, 2025, 3PM",889
"Jan 30, 2025, 4PM",1183
"Jan 30, 2025, 5PM",897
"Jan 30, 2025, 6PM",744
"Jan 30, 2025, 7PM",726
"Jan 30, 2025, 8PM",732
"Jan 30, 2025, 9PM",996
"Jan 30, 2025, 10PM",915
"Jan 30, 2025, 11PM",692
"Jan 31, 2025, 12AM",472
"Jan 31, 2025, 1AM",303
"Jan 31, 2025, 2AM",81
"Jan 31, 2025, 3AM",69
"Jan 31, 2025, 4AM",59
"Jan 31, 2025, 5AM",91
"Jan 31, 2025, 6AM",122
"Jan 31, 2025, 7AM",251
"Jan 31, 2025, 8AM",438
"Jan 31, 2025, 9AM",732
"Jan 31, 2025, 10AM",893
"Jan 31, 2025, 11AM",845
"Jan 31, 2025, 12PM",914
"Jan 31, 2025, 1PM",830
"Jan 31, 2025, 2PM",975
"Jan 31, 2025, 3PM",1020
"Jan 31, 2025, 4PM",893
"Jan 31, 2025, 5PM",962
"Jan 31, 2025, 6PM",956
"Jan 31, 2025, 7PM",948
"Jan 31, 2025, 8PM",1063
"Jan 31, 2025, 9PM",1098
"Jan 31, 2025, 10PM",1152
"Jan 31, 2025, 11PM",906
"Feb 1, 2025, 12AM",563
"Feb 1, 2025, 1AM",236
"Feb 1, 2025, 2AM",133
"Feb 1, 2025, 3AM",85
"Feb 1, 2025, 4AM",57
"Feb 1, 2025, 5AM",86
"Feb 1, 2025, 6AM",72
"Feb 1, 2025, 7AM",224
"Feb 1, 2025, 8AM",376
"Feb 1, 2025, 9AM",458
"Feb 1, 2025, 10AM",766
"Feb 1, 2025, 11AM",634
"Feb 1, 2025, 12PM",667
"Feb 1, 2025, 1PM",633
"Feb 1, 2025, 2PM",918
"Feb 1, 2025, 3PM",797
"Feb 1, 2025, 4PM",708
"Feb 1, 2025, 5PM",795
"Feb 1, 2025, 6PM",910
"Feb 1, 2025, 7PM",805
