Date + hour (YYYYMMDDHH),Views
"Jan 22, 2025, 4AM",19
"Jan 22, 2025, 5AM",24
"Jan 22, 2025, 6AM",131
"Jan 22, 2025, 7AM",183
"Jan 22, 2025, 8AM",280
"Jan 22, 2025, 9AM",510
"Jan 22, 2025, 10AM",545
"Jan 22, 2025, 11AM",659
"Jan 22, 2025, 12PM",608
"Jan 22, 2025, 1PM",693
"Jan 22, 2025, 2PM",812
"Jan 22, 2025, 3PM",942
"Jan 22, 2025, 4PM",964
"Jan 22, 2025, 5PM",807
"Jan 22, 2025, 6PM",576
"Jan 22, 2025, 7PM",707
"Jan 22, 2025, 8PM",705
"Jan 22, 2025, 9PM",838
"Jan 22, 2025, 10PM",885
"Jan 22, 2025, 11PM",583
"Jan 23, 2025, 12AM",539
"Jan 23, 2025, 1AM",211
"Jan 23, 2025, 2AM",129
"Jan 23, 2025, 3AM",111
"Jan 23, 2025, 4AM",63
"Jan 23, 2025, 5AM",160
"Jan 23, 2025, 6AM",139
"Jan 23, 2025, 7AM",160
"Jan 23, 2025, 8AM",341
"Jan 23, 2025, 9AM",529
"Jan 23, 2025, 10AM",693
"Jan 23, 2025, 11AM",715
"Jan 23, 2025, 12PM",670
"Jan 23, 2025, 1PM",724
"Jan 23, 2025, 2PM",772
"Jan 23, 2025, 3PM",738
"Jan 23, 2025, 4PM",784
"Jan 23, 2025, 5PM",804
"Jan 23, 2025, 6PM",713
"Jan 23, 2025, 7PM",744
"Jan 23, 2025, 8PM",920
"Jan 23, 2025, 9PM",883
"Jan 23, 2025, 10PM",740
"Jan 23, 2025, 11PM",710
"Jan 24, 2025, 12AM",414
"Jan 24, 2025, 1AM",202
"Jan 24, 2025, 2AM",73
"Jan 24, 2025, 3AM",82
"Jan 24, 2025, 4AM",69
"Jan 24, 2025, 5AM",67
"Jan 24, 2025, 6AM",96
"Jan 24, 2025, 7AM",276
"Jan 24, 2025, 8AM",293
"Jan 24, 2025, 9AM",579
"Jan 24, 2025, 10AM",677
"Jan 24, 2025, 11AM",1038
"Jan 24, 2025, 12PM",858
"Jan 24, 2025, 1PM",612
"Jan 24, 2025, 2PM",964
"Jan 24, 2025, 3PM",688
"Jan 24, 2025, 4PM",765
"Jan 24, 2025, 5PM",895
"Jan 24, 2025, 6PM",750
"Jan 24, 2025, 7PM",800
"Jan 24, 2025, 8PM",960
"Jan 24, 2025, 9PM",872
"Jan 24, 2025, 10PM",878
"Jan 24, 2025, 11PM",752
"Jan 25, 2025, 12AM",742
"Jan 25, 2025, 1AM",275
"Jan 25, 2025, 2AM",185
"Jan 25, 2025, 3AM",162
"Jan 25, 2025, 4AM",92
"Jan 25, 2025, 5AM",83
"Jan 25, 2025, 6AM",222
"Jan 25, 2025, 7AM",188
"Jan 25, 2025, 8AM",489
"Jan 25, 2025, 9AM",545
"Jan 25, 2025, 10AM",736
"Jan 25, 2025, 11AM",719
"Jan 25, 2025, 12PM",577
"Jan 25, 2025, 1PM",697
"Jan 25, 2025, 2PM",864
"Jan 25, 2025, 3PM",743
"Jan 25, 2025, 4PM",841
"Jan 25, 2025, 5PM",939
"Jan 25, 2025, 6PM",868
"Jan 25, 2025, 7PM",1035
"Jan 25, 2025, 8PM",893
"Jan 25, 2025, 9PM",822
"Jan 25, 2025, 10PM",928
"Jan 25, 2025, 11PM",661
"Jan 26, 2025, 12AM",589
"Jan 26, 2025, 1AM",371
"Jan 26, 2025, 2AM",155
"Jan 26, 2025, 3AM",87
"Jan 26, 2025, 4AM",88
"Jan 26, 2025, 5AM",100
"Jan 26, 2025, 6AM",107
"Jan 26, 2025, 7AM",139
"Jan 26, 2025, 8AM",499
"Jan 26, 2025, 9AM",611
"Jan 26, 2025, 10AM",620
"Jan 26, 2025, 11AM",824
"Jan 26, 2025, 12PM",833
"Jan 26, 2025, 1PM",775
"Jan 26, 2025, 2PM",1036
"Jan 26, 2025, 3PM",1018
"Jan 26, 2025, 4PM",988
"Jan 26, 2025, 5PM",930
"Jan 26, 2025, 6PM",1059
"Jan 26, 2025, 7PM",1036
"Jan 26, 2025, 8PM",1006
"Jan 26, 2025, 9PM",1130
"Jan 26, 2025, 10PM",961
"Jan 26, 2025, 11PM",972
"Jan 27, 2025, 12AM",473
"Jan 27, 2025, 1AM",279
"Jan 27, 2025, 2AM",168
"Jan 27, 2025, 3AM",121
"Jan 27, 2025, 4AM",164
"Jan 27, 2025, 5AM",91
"Jan 27, 2025, 6AM",104
"Jan 27, 2025, 7AM",132
"Jan 27, 2025, 8AM",379
"Jan 27, 2025, 9AM",692
"Jan 27, 2025, 10AM",800
"Jan 27, 2025, 11AM",1119
"Jan 27, 2025, 12PM",910
"Jan 27, 2025, 1PM",871
"Jan 27, 2025, 2PM",1249
"Jan 27, 2025, 3PM",975
"Jan 27, 2025, 4PM",1245
"Jan 27, 2025, 5PM",984
"Jan 27, 2025, 6PM",1074
"Jan 27, 2025, 7PM",1073
"Jan 27, 2025, 8PM",957
"Jan 27, 2025, 9PM",1043
"Jan 27, 2025, 10PM",1092
"Jan 27, 2025, 11PM",994
"Jan 28, 2025, 12AM",453
"Jan 28, 2025, 1AM",217
"Jan 28, 2025, 2AM",100
"Jan 28, 2025, 3AM",114
"Jan 28, 2025, 4AM",61
"Jan 28, 2025, 5AM",136
"Jan 28, 2025, 6AM",84
"Jan 28, 2025, 7AM",177
"Jan 28, 2025, 8AM",389
