Date + hour (YYYYMMDDHH),Views
"Sep 19, 2025, 4PM",1
"Sep 19, 2025, 6PM",1
"Sep 19, 2025, 9PM",3
"Sep 19, 2025, 10PM",5
"Sep 19, 2025, 11PM",2
"Sep 20, 2025, 12AM",0
"Sep 20, 2025, 1PM",3
"Sep 20, 2025, 2PM",2
"Sep 20, 2025, 3PM",3
"Sep 20, 2025, 4PM",2
"Sep 20, 2025, 5PM",1
"Sep 20, 2025, 7PM",4
"Sep 20, 2025, 9PM",1
"Sep 21, 2025, 12AM",1
"Sep 21, 2025, 9AM",1
"Sep 21, 2025, 10AM",1
"Sep 21, 2025, 11AM",1
"Sep 21, 2025, 12PM",7
"Sep 21, 2025, 1PM",3
"Sep 21, 2025, 4PM",5
"Sep 21, 2025, 5PM",4
"Sep 21, 2025, 6PM",1
"Sep 21, 2025, 7PM",2
"Sep 21, 2025, 8PM",3
"Sep 21, 2025, 9PM",4
"Sep 22, 2025, 5AM",1
"Sep 22, 2025, 9AM",4
"Sep 22, 2025, 11AM",2
"Sep 22, 2025, 12PM",8
"Sep 22, 2025, 1PM",2
"Sep 22, 2025, 2PM",4
"Sep 22, 2025, 3PM",1
"Sep 22, 2025, 4PM",4
"Sep 22, 2025, 5PM",2
"Sep 22, 2025, 7PM",1
"Sep 22, 2025, 8PM",6
"Sep 22, 2025, 9PM",3
"Sep 22, 2025, 10PM",2
"Sep 22, 2025, 11PM",1
"Sep 23, 2025, 7AM",3
"Sep 23, 2025, 8AM",0
"Sep 23, 2025, 9AM",15
"Sep 23, 2025, 11AM",5
"Sep 23, 2025, 12PM",4
"Sep 23, 2025, 1PM",2
"Sep 23, 2025, 3PM",3
"Sep 23, 2025, 4PM",3
"Sep 23, 2025, 7PM",3
"Sep 23, 2025, 8PM",5
"Sep 23, 2025, 9PM",7
"Sep 23, 2025, 10PM",6
"Sep 23, 2025, 11PM",3
"Sep 24, 2025, 12AM",5
"Sep 24, 2025, 1AM",0
"Sep 24, 2025, 7AM",3
"Sep 24, 2025, 8AM",3
"Sep 24, 2025, 9AM",6
"Sep 24, 2025, 10AM",3
"Sep 24, 2025, 11AM",2
"Sep 24, 2025, 12PM",4
"Sep 24, 2025, 1PM",9
"Sep 24, 2025, 2PM",3
"Sep 24, 2025, 3PM",1
"Sep 24, 2025, 4PM",6
"Sep 24, 2025, 7PM",2
"Sep 24, 2025, 8PM",13
"Sep 24, 2025, 9PM",1
"Sep 24, 2025, 11PM",2
