Date + hour (YYYYMMDDHH),Views
"Jan 19, 2025, 2AM",6
"Jan 19, 2025, 3AM",3
"Jan 19, 2025, 4AM",10
"Jan 19, 2025, 5AM",9
"Jan 19, 2025, 6AM",6
"Jan 19, 2025, 7AM",27
"Jan 19, 2025, 8AM",35
"Jan 19, 2025, 9AM",24
"Jan 19, 2025, 10AM",62
"Jan 19, 2025, 11AM",77
"Jan 19, 2025, 12PM",43
"Jan 19, 2025, 1PM",80
"Jan 19, 2025, 2PM",66
"Jan 19, 2025, 3PM",88
"Jan 19, 2025, 4PM",68
"Jan 19, 2025, 5PM",70
"Jan 19, 2025, 6PM",75
"Jan 19, 2025, 7PM",85
"Jan 19, 2025, 8PM",101
"Jan 19, 2025, 9PM",99
"Jan 19, 2025, 10PM",57
"Jan 19, 2025, 11PM",33
"Jan 20, 2025, 12AM",12
"Jan 20, 2025, 1AM",12
"Jan 20, 2025, 3AM",2
"Jan 20, 2025, 4AM",1
"Jan 20, 2025, 6AM",6
"Jan 20, 2025, 7AM",16
"Jan 20, 2025, 8AM",42
"Jan 20, 2025, 9AM",76
"Jan 20, 2025, 10AM",74
"Jan 20, 2025, 11AM",47
"Jan 20, 2025, 12PM",67
"Jan 20, 2025, 1PM",94
"Jan 20, 2025, 2PM",57
"Jan 20, 2025, 3PM",107
"Jan 20, 2025, 4PM",83
"Jan 20, 2025, 5PM",85
"Jan 20, 2025, 6PM",153
"Jan 20, 2025, 7PM",129
"Jan 20, 2025, 8PM",180
"Jan 20, 2025, 9PM",143
"Jan 20, 2025, 10PM",126
"Jan 20, 2025, 11PM",86
"Jan 21, 2025, 12AM",8
"Jan 21, 2025, 1AM",30
"Jan 21, 2025, 2AM",4
"Jan 21, 2025, 3AM",0
"Jan 21, 2025, 4AM",12
"Jan 21, 2025, 5AM",5
"Jan 21, 2025, 6AM",15
"Jan 21, 2025, 7AM",29
"Jan 21, 2025, 8AM",66
"Jan 21, 2025, 9AM",87
"Jan 21, 2025, 10AM",60
"Jan 21, 2025, 11AM",83
"Jan 21, 2025, 12PM",88
"Jan 21, 2025, 1PM",138
"Jan 21, 2025, 2PM",74
"Jan 21, 2025, 3PM",124
"Jan 21, 2025, 4PM",163
"Jan 21, 2025, 5PM",70
"Jan 21, 2025, 6PM",101
"Jan 21, 2025, 7PM",127
"Jan 21, 2025, 8PM",196
"Jan 21, 2025, 9PM",206
"Jan 21, 2025, 10PM",137
"Jan 21, 2025, 11PM",43
"Jan 22, 2025, 12AM",29
"Jan 22, 2025, 1AM",6
"Jan 22, 2025, 2AM",9
"Jan 22, 2025, 3AM",5
"Jan 22, 2025, 4AM",2
"Jan 22, 2025, 5AM",11
"Jan 22, 2025, 6AM",17
"Jan 22, 2025, 7AM",30
"Jan 22, 2025, 8AM",87
"Jan 22, 2025, 9AM",83
"Jan 22, 2025, 10AM",151
"Jan 22, 2025, 11AM",231
"Jan 22, 2025, 12PM",130
"Jan 22, 2025, 1PM",143
"Jan 22, 2025, 2PM",115
"Jan 22, 2025, 3PM",109
"Jan 22, 2025, 4PM",106
"Jan 22, 2025, 5PM",71
"Jan 22, 2025, 6PM",81
"Jan 22, 2025, 7PM",298
"Jan 22, 2025, 8PM",420
"Jan 22, 2025, 9PM",260
"Jan 22, 2025, 10PM",87
"Jan 22, 2025, 11PM",112
"Jan 23, 2025, 12AM",35
"Jan 23, 2025, 1AM",14
"Jan 23, 2025, 2AM",5
"Jan 23, 2025, 3AM",4
"Jan 23, 2025, 4AM",10
"Jan 23, 2025, 5AM",5
"Jan 23, 2025, 6AM",16
"Jan 23, 2025, 7AM",55
"Jan 23, 2025, 8AM",45
"Jan 23, 2025, 9AM",103
"Jan 23, 2025, 10AM",200
"Jan 23, 2025, 11AM",100
"Jan 23, 2025, 12PM",116
"Jan 23, 2025, 1PM",147
"Jan 23, 2025, 2PM",148
"Jan 23, 2025, 3PM",146
"Jan 23, 2025, 4PM",108
"Jan 23, 2025, 5PM",113
"Jan 23, 2025, 6PM",44
"Jan 23, 2025, 7PM",444
"Jan 23, 2025, 8PM",258
"Jan 23, 2025, 9PM",237
"Jan 23, 2025, 10PM",113
"Jan 23, 2025, 11PM",52
"Jan 24, 2025, 12AM",10
"Jan 24, 2025, 1AM",10
"Jan 24, 2025, 2AM",8
"Jan 24, 2025, 3AM",10
"Jan 24, 2025, 4AM",8
"Jan 24, 2025, 5AM",8
"Jan 24, 2025, 6AM",30
"Jan 24, 2025, 7AM",60
"Jan 24, 2025, 8AM",130
"Jan 24, 2025, 9AM",135
"Jan 24, 2025, 10AM",119
"Jan 24, 2025, 11AM",95
"Jan 24, 2025, 12PM",103
"Jan 24, 2025, 1PM",111
"Jan 24, 2025, 2PM",119
"Jan 24, 2025, 3PM",150
"Jan 24, 2025, 4PM",112
"Jan 24, 2025, 5PM",95
"Jan 24, 2025, 6PM",84
"Jan 24, 2025, 7PM",407
"Jan 24, 2025, 8PM",387
"Jan 24, 2025, 9PM",184
"Jan 24, 2025, 10PM",111
"Jan 24, 2025, 11PM",48
"Jan 25, 2025, 12AM",37
"Jan 25, 2025, 1AM",2
"Jan 25, 2025, 2AM",9
"Jan 25, 2025, 3AM",7
"Jan 25, 2025, 4AM",5
"Jan 25, 2025, 5AM",17
"Jan 25, 2025, 6AM",18
"Jan 25, 2025, 7AM",52
"Jan 25, 2025, 8AM",71
"Jan 25, 2025, 9AM",63
"Jan 25, 2025, 10AM",79
"Jan 25, 2025, 11AM",90
"Jan 25, 2025, 12PM",61
"Jan 25, 2025, 1PM",71
"Jan 25, 2025, 2PM",99
"Jan 25, 2025, 3PM",77
"Jan 25, 2025, 4PM",57
"Jan 25, 2025, 5PM",118
"Jan 25, 2025, 6PM",62
"Jan 25, 2025, 7PM",350
"Jan 25, 2025, 8PM",208
"Jan 25, 2025, 9PM",134
"Jan 25, 2025, 10PM",118
"Jan 25, 2025, 11PM",69
"Jan 26, 2025, 12AM",50
"Jan 26, 2025, 1AM",5
"Jan 26, 2025, 2AM",16
"Jan 26, 2025, 3AM",1
"Jan 26, 2025, 4AM",6
"Jan 26, 2025, 5AM",1
"Jan 26, 2025, 6AM",14
"Jan 26, 2025, 7AM",38
"Jan 26, 2025, 8AM",36
"Jan 26, 2025, 9AM",79
"Jan 26, 2025, 10AM",35
"Jan 26, 2025, 11AM",58
"Jan 26, 2025, 12PM",62
"Jan 26, 2025, 1PM",93
"Jan 26, 2025, 2PM",124
"Jan 26, 2025, 3PM",76
"Jan 26, 2025, 4PM",103
"Jan 26, 2025, 5PM",51
"Jan 26, 2025, 6PM",119
"Jan 26, 2025, 7PM",476
"Jan 26, 2025, 8PM",221
"Jan 26, 2025, 9PM",252
"Jan 26, 2025, 10PM",114
"Jan 26, 2025, 11PM",37
"Jan 27, 2025, 12AM",15
"Jan 27, 2025, 1AM",13
"Jan 27, 2025, 3AM",4
"Jan 27, 2025, 5AM",1
"Jan 27, 2025, 6AM",23
"Jan 27, 2025, 7AM",44
"Jan 27, 2025, 8AM",42
"Jan 27, 2025, 9AM",84
"Jan 27, 2025, 10AM",134
"Jan 27, 2025, 11AM",124
"Jan 27, 2025, 12PM",80
"Jan 27, 2025, 1PM",92
"Jan 27, 2025, 2PM",56
"Jan 27, 2025, 3PM",121
"Jan 27, 2025, 4PM",106
"Jan 27, 2025, 5PM",52
"Jan 27, 2025, 6PM",51
"Jan 27, 2025, 7PM",433
"Jan 27, 2025, 8PM",340
"Jan 27, 2025, 9PM",196
"Jan 27, 2025, 10PM",96
"Jan 27, 2025, 11PM",44
"Jan 28, 2025, 12AM",20
"Jan 28, 2025, 1AM",8
"Jan 28, 2025, 2AM",2
"Jan 28, 2025, 3AM",7
"Jan 28, 2025, 4AM",1
"Jan 28, 2025, 5AM",8
"Jan 28, 2025, 6AM",39
"Jan 28, 2025, 7AM",53
"Jan 28, 2025, 8AM",51
"Jan 28, 2025, 9AM",111
"Jan 28, 2025, 10AM",104
"Jan 28, 2025, 11AM",101
"Jan 28, 2025, 12PM",90
"Jan 28, 2025, 1PM",102
"Jan 28, 2025, 2PM",142
"Jan 28, 2025, 3PM",129
"Jan 28, 2025, 4PM",104
"Jan 28, 2025, 5PM",89
"Jan 28, 2025, 6PM",54
"Jan 28, 2025, 7PM",333
"Jan 28, 2025, 8PM",238
"Jan 28, 2025, 9PM",210
"Jan 28, 2025, 10PM",85
"Jan 28, 2025, 11PM",37
"Jan 29, 2025, 12AM",10
